Project_ID,Length_km,Voltage_kV,Terrain,Estimated_Cost,Actual_Cost,Planned_Duration,Actual_Duration,Weather_Risk,Contractor_Experience,Material_Cost_Index,Labor_Availability
P00034,79,220,Desert,41972700.0,51198510.21,14,17,High,7,1.38,67
P00035,68,400,Desert,49816800.0,57497500.27,26,30,Medium,12,1.11,71
P00036,198,220,Hilly,100623600.0,132772130.51,8,10,Low,11,1.21,93
P00037,55,765,Desert,67518000.0,69269378.93,10,10,Medium,10,1.24,56
P00038,93,220,Hilly,53121600.0,64058199.89,10,12,Low,5,1.36,68
P00039,201,220,Hilly,108901800.0,110301445.39,13,13,Low,10,1.29,81
P00040,341,400,Forest,369712200.0,633231942.29,14,23,High,15,1.39,59
P00041,133,765,Forest,211629600.0,230199194.24,8,8,Low,18,1.36,74
P00042,265,220,Forest,168805000.0,243065521.79,27,38,Medium,14,1.4,86
P00043,195,400,Hilly,144612000.0,214040311.65,26,38,Medium,11,1.03,81
P00044,324,400,Plain,235224000.0,278004259.79,20,23,Low,3,1.21,82
P00045,181,400,Hilly,192873600.0,217654747.08,21,23,Low,5,1.48,81
P00046,336,765,Desert,439084800.0,497861261.57,11,12,Medium,18,1.32,74
P00047,89,400,Plain,68352000.0,74853433.45,16,17,Low,14,1.28,71
P00048,169,220,Desert,78078000.0,76565199.78,19,18,Low,12,1.2,87
P00049,201,400,Forest,205381800.0,289736968.9,25,35,High,17,1.31,94
P00050,320,132,Plain,93440000.0,122266643.79,21,27,Low,17,1.46,69
P00051,122,220,Desert,55424600.0,68250008.31,28,34,Medium,11,1.18,90
P00052,257,132,Plain,58082000.0,89234848.44,13,19,High,3,1.13,79
P00053,304,765,Plain,355680000.0,383523371.6,26,28,Medium,3,1.3,95
P00054,318,220,Desert,126102900.0,165150458.43,30,39,Medium,18,1.03,57
P00055,344,765,Desert,340560000.0,493449361.78,30,43,High,7,1.0,60
P00056,175,765,Desert,235620000.0,282021859.65,30,35,High,3,1.36,75
P00057,84,132,Plain,16968000.0,15695338.39,14,12,Low,7,1.01,79
P00058,196,765,Forest,275184000.0,460011778.08,27,45,Medium,3,1.2,78
P00059,173,765,Plain,217980000.0,302156199.15,15,20,Medium,4,1.4,59
P00060,158,132,Hilly,40574400.0,53550226.98,29,38,Medium,4,1.07,71
P00061,169,132,Forest,54046200.0,79172672.56,14,20,Low,18,1.23,65
P00062,103,132,Desert,24472800.0,35649268.25,17,24,Medium,6,1.08,85
P00063,295,765,Hilly,446040000.0,598523368.72,29,38,Low,8,1.4,82
P00064,63,765,Plain,70875000.0,80865625.39,17,19,Low,13,1.25,91
P00065,41,400,Forest,32939400.0,42317923.28,14,17,High,14,1.03,57
P00066,246,132,Plain,52644000.0,75040478.62,23,32,High,5,1.07,86
P00067,291,400,Forest,258757200.0,333265086.6,30,38,Low,12,1.14,75
P00068,170,132,Desert,46002000.0,48282056.61,12,12,High,16,1.23,80
P00069,322,220,Hilly,146059200.0,216056782.53,29,42,Medium,12,1.08,91
P00070,161,765,Hilly,199962000.0,259805171.01,28,36,High,12,1.15,62
P00071,227,220,Desert,117109300.0,144702805.85,13,16,High,16,1.34,77
P00072,31,765,Hilly,49885200.0,56656059.95,28,31,Low,7,1.49,95
P00073,321,132,Forest,95144400.0,137043295.93,11,15,Medium,6,1.14,73
P00074,186,765,Desert,254113200.0,333315664.76,13,17,High,13,1.38,79
P00075,171,132,Forest,63133200.0,74825882.08,9,10,Low,10,1.42,69
P00076,255,132,Plain,68850000.0,70526382.41,21,21,Medium,12,1.35,80
P00077,272,400,Plain,186048000.0,208780115.78,21,23,High,17,1.14,74
P00078,219,220,Plain,95046000.0,89425565.04,28,26,Medium,17,1.24,73
P00079,50,220,Plain,19950000.0,21659558.42,12,13,Low,12,1.14,58
P00080,348,400,Desert,291693600.0,440205455.96,30,45,High,12,1.27,63
P00081,30,765,Hilly,38232000.0,47836718.94,23,28,Medium,18,1.18,77
P00082,236,220,Plain,101598000.0,142298269.84,10,14,Medium,5,1.23,61
P00083,50,400,Plain,43500000.0,47815092.95,15,16,Low,6,1.45,62
P00084,118,765,Forest,138060000.0,173486219.87,18,22,High,7,1.0,71
P00085,58,220,Plain,21721000.0,22888698.3,19,20,Low,15,1.07,84
P00086,68,765,Forest,116953200.0,170776641.89,24,35,Low,4,1.47,55
P00087,261,400,Desert,256667400.0,332563117.18,23,29,High,6,1.49,74
P00088,349,400,Forest,280386600.0,341290492.85,17,20,Medium,9,1.03,82
P00089,256,765,Forest,332467200.0,371901160.59,15,16,Low,11,1.11,58
P00090,81,220,Plain,38272500.0,49046758.55,8,10,Low,6,1.35,87
P00091,107,400,Forest,106828800.0,190250867.17,18,32,High,6,1.28,67
P00092,334,765,Hilly,454507200.0,542355445.43,20,23,Medium,16,1.26,87
P00093,306,220,Desert,142550100.0,135289241.01,15,14,Low,16,1.21,57
P00094,155,220,Desert,60868500.0,71738526.35,10,11,High,4,1.02,94
P00095,267,400,Plain,240300000.0,280235089.69,23,26,High,16,1.5,73
P00096,333,400,Forest,262337400.0,298993741.97,26,29,Low,4,1.01,85
P00097,124,400,Forest,104457600.0,151353363.31,8,11,Low,15,1.08,57
P00098,201,132,Hilly,50169600.0,50920834.08,18,18,Low,13,1.04,94
P00099,302,765,Desert,403623000.0,436257457.86,10,10,Medium,10,1.35,77
P00100,314,400,Forest,279208800.0,417781480.54,22,32,High,9,1.14,79
P00101,317,400,Desert,236418600.0,320548487.05,8,10,Medium,10,1.13,62
P00102,167,132,Desert,43720600.0,48021337.41,13,14,Low,17,1.19,79
P00103,183,400,Desert,144936000.0,188032327.71,9,11,Medium,13,1.2,65
P00104,250,220,Forest,118300000.0,168189487.33,21,29,Medium,12,1.04,68
P00105,293,400,Hilly,276357600.0,434806122.34,19,29,High,16,1.31,92
P00106,269,765,Hilly,328287600.0,615975460.06,27,50,High,3,1.13,66
P00107,99,400,Desert,87555600.0,125646781.3,15,21,Medium,12,1.34,55
P00108,50,220,Desert,22137500.0,24358939.13,18,19,Low,7,1.15,89
P00109,160,400,Forest,175968000.0,257909339.63,24,35,High,7,1.41,87
P00110,301,400,Hilly,281736000.0,334903942.81,9,10,Medium,14,1.3,93
P00111,160,132,Desert,50688000.0,58734392.73,24,27,High,14,1.44,70
P00112,300,220,Plain,143850000.0,171480775.05,9,10,High,13,1.37,78
P00113,39,400,Desert,36293400.0,41323047.31,27,30,Low,9,1.41,74
P00114,300,400,Hilly,308880000.0,437254186.16,27,38,Low,5,1.43,85
P00115,74,765,Forest,92640600.0,135467737.25,17,24,Medium,5,1.07,64
P00116,146,220,Desert,83190800.0,99188785.0,24,28,Low,3,1.48,87
P00117,311,132,Desert,99893200.0,99984401.64,8,8,Low,17,1.46,85
P00118,185,400,Forest,194805000.0,265977085.98,8,10,Medium,10,1.35,77
P00119,74,132,Plain,19980000.0,19017747.88,29,27,Low,15,1.35,71
P00120,129,132,Plain,36378000.0,52178232.63,8,11,Medium,13,1.41,65
P00121,271,220,Plain,101489500.0,123180509.72,15,18,High,12,1.07,74
P00122,50,220,Plain,21000000.0,27296557.36,15,19,High,16,1.2,94
P00123,53,400,Forest,59529600.0,61361814.42,13,13,Low,16,1.44,85
P00124,56,765,Forest,85176000.0,91158549.85,24,25,Medium,8,1.3,84
P00125,40,220,Desert,18326000.0,18539618.37,24,24,Medium,16,1.19,72
P00126,225,765,Desert,247252500.0,253620121.39,18,18,Medium,7,1.11,91
P00127,103,132,Hilly,31888800.0,53388949.71,15,25,High,5,1.29,73
P00128,172,400,Hilly,156038400.0,221737642.31,16,22,Medium,16,1.26,69
P00129,218,220,Desert,104912500.0,148445523.58,27,38,Medium,5,1.25,64
P00130,60,220,Plain,30660000.0,33105871.62,23,24,Low,16,1.46,67
P00131,68,132,Plain,15640000.0,18109864.85,26,30,Medium,7,1.15,72
P00132,59,400,Plain,43188000.0,46877571.67,24,26,Medium,8,1.22,80
P00133,255,220,Forest,136909500.0,215291745.08,14,22,High,13,1.18,91
P00134,179,132,Plain,48688000.0,65335247.52,23,30,Medium,4,1.36,88
P00135,340,400,Hilly,367200000.0,389466543.86,29,30,Low,7,1.5,77
P00136,318,132,Hilly,82425600.0,117346660.93,25,35,High,8,1.08,70
P00137,147,220,Plain,73059000.0,84226833.83,29,33,High,11,1.42,87
P00138,200,220,Desert,92400000.0,109772361.32,23,27,High,14,1.2,70
P00139,264,400,Hilly,193881600.0,263226486.78,25,33,High,8,1.02,86
P00140,109,765,Plain,144207000.0,174212856.21,19,22,Medium,15,1.47,95
P00141,257,132,Forest,71497400.0,110575763.93,30,46,High,11,1.07,78
P00142,31,765,Plain,41571000.0,54276492.3,19,24,High,15,1.49,92
P00143,288,132,Plain,63360000.0,78699724.1,13,16,High,12,1.1,92
P00144,214,132,Forest,63986000.0,111125784.25,29,50,High,8,1.15,64
P00145,241,400,Desert,203596800.0,301827665.93,13,19,Medium,5,1.28,68
P00146,347,220,Desert,160314000.0,219466206.7,10,13,High,3,1.2,88
P00147,340,765,Plain,373320000.0,400328329.19,29,31,Low,9,1.22,74
P00148,293,220,Desert,138750150.0,145816228.29,13,13,Low,16,1.23,88
P00149,262,220,Hilly,118843200.0,191993114.64,17,27,High,18,1.08,64
P00150,254,220,Hilly,155752800.0,197441258.95,24,30,Low,16,1.46,73
P00151,282,765,Plain,281718000.0,344052596.32,26,31,Low,3,1.11,94
P00152,123,132,Forest,41893800.0,50202393.89,24,28,Medium,11,1.31,70
P00153,259,400,Hilly,190209600.0,285019801.71,22,32,Low,5,1.02,64
P00154,153,132,Plain,32130000.0,40091411.62,8,9,Low,7,1.05,56
P00155,149,400,Desert,140626200.0,166139322.54,23,27,Low,12,1.43,77
P00156,349,400,Hilly,311587200.0,404448363.16,29,37,Medium,18,1.24,63
P00157,269,132,Forest,74136400.0,102928857.47,15,20,High,11,1.06,70
P00158,196,132,Plain,45080000.0,68498633.25,13,19,High,3,1.15,55
P00159,254,132,Hilly,63398400.0,93958046.29,14,20,Medium,9,1.04,56
P00160,342,220,Hilly,159440400.0,223609557.17,30,42,High,16,1.11,88
P00161,71,220,Plain,36529500.0,35885849.67,8,7,Low,7,1.47,69
P00162,57,132,Hilly,19562400.0,31963379.93,9,14,Low,3,1.43,57
P00163,183,400,Plain,114192000.0,124982693.97,20,21,High,15,1.04,83
P00164,47,220,Forest,31649800.0,33828398.0,20,21,Medium,9,1.48,86
P00165,218,132,Hilly,72201600.0,80629252.9,14,15,Medium,16,1.38,77
P00166,117,765,Desert,157528800.0,172519131.71,23,25,Medium,13,1.36,76
P00167,295,400,Forest,301431000.0,342755978.51,13,14,Low,3,1.31,94
P00168,257,765,Desert,267151500.0,412515672.16,11,16,High,18,1.05,65
P00169,54,400,Plain,37260000.0,43483882.78,24,28,High,4,1.15,88
P00170,127,132,Plain,34290000.0,42369696.94,22,27,Low,6,1.35,94
P00171,174,765,Hilly,246175200.0,322424909.29,22,28,Low,9,1.31,76
P00172,280,220,Plain,126420000.0,149397051.18,28,33,Medium,8,1.29,85
P00173,300,400,Plain,221400000.0,284963726.2,25,32,Medium,16,1.23,58
P00174,113,132,Forest,34080800.0,41176480.18,24,28,Low,13,1.16,73
P00175,62,400,Forest,59482800.0,67421305.76,10,11,Low,18,1.23,55
P00176,96,220,Forest,63772800.0,87052664.08,28,38,Medium,16,1.46,67
P00177,206,132,Desert,51211600.0,76070738.53,8,11,Medium,4,1.13,60
P00178,153,400,Plain,121176000.0,129678390.23,16,17,High,8,1.32,83
P00179,145,400,Forest,161733000.0,199553309.67,22,27,High,14,1.43,76
P00180,120,220,Forest,65520000.0,71172813.84,30,32,Low,16,1.2,75
P00181,306,132,Desert,89535600.0,100943400.09,16,18,Low,13,1.33,66
P00182,275,765,Plain,348975000.0,501220151.31,14,20,Medium,5,1.41,70
P00183,295,400,Forest,269217000.0,404494072.24,12,18,High,14,1.17,87
P00184,72,765,Plain,69336000.0,84650391.68,8,9,High,18,1.07,60
P00185,335,400,Plain,217080000.0,305201695.54,18,25,High,13,1.08,88
P00186,322,765,Forest,384274800.0,575830904.76,16,23,High,15,1.02,61
P00187,170,400,Hilly,138312000.0,213223699.34,15,23,High,13,1.13,92
P00188,350,765,Plain,324450000.0,323678573.46,11,10,Low,6,1.03,90
P00189,164,220,Desert,72611000.0,108866055.89,8,11,Low,6,1.15,55
P00190,241,220,Hilly,109317600.0,126085270.82,8,9,High,17,1.08,80
P00191,51,132,Hilly,12852000.0,17336167.15,8,10,Medium,3,1.05,66
P00192,162,220,Desert,78586200.0,89465315.22,19,21,Low,13,1.26,91
P00193,255,765,Hilly,355266000.0,568420319.62,28,44,High,5,1.29,71
P00194,334,132,Forest,106813200.0,150038773.53,30,42,Low,17,1.23,58
P00195,277,132,Plain,59832000.0,72188028.91,23,27,High,12,1.08,67
P00196,143,400,Forest,132732600.0,213173424.75,14,22,High,7,1.19,81
P00197,264,400,Forest,226512000.0,332720398.43,24,35,High,13,1.1,72
P00198,191,400,Hilly,152647200.0,168241108.23,9,9,Low,15,1.11,79
P00199,97,765,Desert,96030000.0,113113189.95,10,11,High,16,1.0,66
P00200,217,765,Desert,266389200.0,377541667.25,12,17,Medium,5,1.24,71
P00201,160,400,Forest,164736000.0,207103242.91,18,22,High,9,1.32,57
P00202,51,765,Hilly,62791200.0,84468057.98,15,20,High,12,1.14,76
P00203,92,400,Plain,77832000.0,77810039.69,20,19,Medium,17,1.41,93
P00204,37,765,Plain,34299000.0,38552303.5,24,26,High,12,1.03,80
P00205,333,132,Hilly,85514400.0,124529011.3,16,23,Medium,7,1.07,86
P00206,50,400,Forest,54990000.0,79571490.82,25,36,Medium,7,1.41,70
P00207,52,765,Plain,54288000.0,72141173.49,11,14,High,18,1.16,55
P00208,116,400,Forest,132100800.0,130647579.95,27,26,Low,13,1.46,80
P00209,119,400,Desert,117024600.0,157897999.42,20,26,High,16,1.49,76
P00210,40,132,Forest,12480000.0,17788546.99,18,25,Medium,9,1.2,88
P00211,119,765,Forest,186568200.0,198437568.31,23,24,Medium,17,1.34,89
P00212,236,400,Desert,191584800.0,201408831.72,17,17,High,11,1.23,89
P00213,59,132,Hilly,20248800.0,23263108.2,30,34,Low,8,1.43,90
P00214,216,220,Plain,81648000.0,119473585.47,20,29,High,4,1.08,93
P00215,30,220,Hilly,17010000.0,24922396.32,15,21,Low,4,1.35,67
P00216,297,400,Plain,213840000.0,289560117.09,23,31,High,6,1.2,87
P00217,146,220,Plain,57232000.0,49205246.05,26,22,Low,7,1.12,88
P00218,173,132,Forest,66120600.0,92238001.68,16,22,High,5,1.47,82
P00219,68,765,Hilly,77846400.0,100464690.71,12,15,Low,9,1.06,67
P00220,191,400,Desert,128581200.0,156767997.46,19,23,Low,14,1.02,58
P00221,91,220,Hilly,55036800.0,76516779.26,16,22,High,10,1.44,72
P00222,235,765,Hilly,373086000.0,406002312.49,27,29,Low,15,1.47,79
P00223,189,132,Forest,53071200.0,88929585.32,11,18,High,5,1.08,81
P00224,235,765,Desert,269874000.0,293320660.99,9,9,Medium,7,1.16,77
P00225,343,765,Plain,398223000.0,441565186.24,21,23,High,9,1.29,59
P00226,53,765,Hilly,73839600.0,91990072.03,20,24,Medium,12,1.29,70
P00227,172,765,Forest,227401200.0,283070528.23,10,12,Medium,3,1.13,87
P00228,140,132,Hilly,42336000.0,54380365.63,26,33,Low,9,1.26,67
P00229,110,765,Plain,128700000.0,127601487.03,19,18,Medium,17,1.3,83
P00230,261,765,Desert,315235800.0,346576908.42,11,12,Low,8,1.22,73
P00231,283,765,Forest,400643100.0,536361175.59,26,34,Low,12,1.21,93
P00232,262,400,Desert,179836800.0,155313993.68,19,16,Low,12,1.04,92
P00233,30,765,Desert,33858000.0,40987008.47,26,31,Low,3,1.14,72
P00234,182,132,Plain,43316000.0,67238254.03,27,41,High,4,1.19,93
P00235,114,132,Forest,38532000.0,56052393.95,12,17,High,8,1.3,93
P00236,173,765,Hilly,267181200.0,263343099.1,25,24,Low,7,1.43,83
P00237,197,765,Desert,280843200.0,365092351.49,25,32,High,17,1.44,84
P00238,200,400,Forest,199680000.0,221968988.36,27,30,Low,14,1.28,55
P00239,159,132,Plain,46428000.0,50067146.03,20,21,Medium,13,1.46,88
P00240,87,765,Hilly,104295600.0,179515816.93,11,18,High,14,1.11,57
P00241,202,400,Hilly,180345600.0,283393887.62,29,45,Medium,3,1.24,77
P00242,336,400,Desert,321552000.0,416197239.23,19,24,Low,8,1.45,62
P00243,210,400,Hilly,201096000.0,311956825.43,12,18,High,18,1.33,67
P00244,207,765,Forest,276096600.0,297624959.94,23,24,Medium,13,1.14,94
P00245,286,220,Hilly,132132000.0,182431626.29,29,40,Medium,17,1.1,66
P00246,83,132,Hilly,22908000.0,31393001.8,8,10,High,11,1.15,90
P00247,95,400,Hilly,98496000.0,96403223.98,20,19,Low,15,1.44,80
P00248,40,400,Forest,46800000.0,59754398.49,23,29,Low,11,1.5,72
P00249,106,220,Forest,59322900.0,68205702.13,11,12,Low,10,1.23,58
P00250,194,132,Forest,51953200.0,78049242.92,21,31,Low,3,1.03,92
P00251,201,400,Desert,156538800.0,197913161.9,12,15,Medium,7,1.18,81
P00252,234,220,Plain,86814000.0,109478686.54,16,20,High,3,1.06,91
P00253,254,220,Hilly,155752800.0,177883530.8,24,27,Medium,9,1.46,70
P00254,156,400,Desert,105019200.0,135705619.17,17,21,High,14,1.02,67
P00255,119,400,Desert,89535600.0,87568282.57,23,22,Low,16,1.14,80
P00256,176,132,Forest,57657600.0,74084949.14,29,37,Medium,14,1.26,82
P00257,132,765,Plain,174636000.0,248177629.03,16,22,Medium,6,1.47,55
P00258,251,400,Hilly,231321600.0,318395048.42,9,12,Medium,5,1.28,71
P00259,235,132,Forest,72098000.0,116300893.76,19,30,High,8,1.18,88
P00260,277,132,Forest,75621000.0,100544671.65,21,27,Medium,18,1.05,69
P00261,94,765,Forest,150672600.0,221882718.97,18,26,High,14,1.37,60
P00262,180,765,Forest,240084000.0,374199628.47,16,24,Medium,4,1.14,65
P00263,144,765,Desert,199584000.0,211475543.84,21,22,High,14,1.4,87
P00264,194,220,Hilly,96146400.0,146563159.76,17,25,Medium,6,1.18,85
P00265,63,220,Desert,27165600.0,37142577.2,24,32,High,3,1.12,95
P00266,223,220,Forest,116684750.0,142613057.66,15,18,Low,8,1.15,85
P00267,210,132,Plain,42420000.0,42410872.54,11,10,Medium,10,1.01,94
P00268,280,765,Plain,252000000.0,340978756.99,18,24,High,14,1.0,89
P00269,79,400,Hilly,64274400.0,110625859.27,30,51,High,13,1.13,56
P00270,105,220,Forest,55419000.0,79381747.38,28,40,Medium,7,1.16,85
P00271,318,765,Plain,409266000.0,476122471.09,18,20,High,3,1.43,74
P00272,329,400,Forest,315642600.0,502390587.35,15,23,Medium,12,1.23,65
P00273,234,400,Plain,182520000.0,219162909.49,14,16,Low,3,1.3,76
P00274,86,220,Plain,31003000.0,40014833.88,10,12,Medium,11,1.03,91
P00275,341,765,Hilly,478764000.0,655881832.15,9,12,Medium,7,1.3,60
P00276,188,765,Desert,199148400.0,213588428.12,24,25,Medium,10,1.07,84
P00277,119,132,Forest,37437400.0,43027743.35,8,9,High,9,1.21,82
P00278,168,400,Hilly,159667200.0,218449858.77,15,20,High,6,1.32,82
P00279,175,765,Forest,251842500.0,321045978.01,24,30,Medium,11,1.23,67
P00280,280,132,Plain,73360000.0,98286273.99,14,18,Medium,3,1.31,94
P00281,296,220,Plain,132608000.0,188062610.59,10,14,High,3,1.28,71
P00282,148,220,Forest,86868600.0,128157720.58,30,44,Medium,16,1.29,90
P00283,165,400,Desert,133947000.0,176474821.66,22,28,High,17,1.23,82
P00284,287,765,Desert,340956000.0,412153354.25,12,14,High,3,1.2,94
P00285,113,400,Plain,73902000.0,90944311.62,24,29,Medium,12,1.09,93
P00286,285,220,Forest,162093750.0,218869799.76,9,12,Low,17,1.25,63
P00287,177,220,Forest,114359700.0,172427326.46,23,34,Medium,5,1.42,70
P00288,294,220,Hilly,155584800.0,219980634.4,14,19,High,9,1.26,93
P00289,179,220,Hilly,104500200.0,139751759.5,16,21,High,12,1.39,89
P00290,171,220,Plain,68229000.0,68144717.18,14,13,Low,13,1.14,61
P00291,321,132,Hilly,84744000.0,132173657.19,10,15,High,18,1.1,55
P00292,154,132,Desert,46415600.0,47579080.59,13,13,Low,8,1.37,93
P00293,195,400,Hilly,202176000.0,276443235.05,23,31,High,18,1.44,90
P00294,339,765,Hilly,464972400.0,582269584.65,18,22,Low,8,1.27,69
P00295,322,400,Plain,220248000.0,195656271.26,19,16,Low,14,1.14,93
P00296,65,220,Desert,37287250.0,35646370.96,29,27,Medium,13,1.49,77
P00297,290,765,Forest,373230000.0,501602866.32,11,14,Medium,4,1.1,60
P00298,186,132,Desert,60561600.0,56656482.04,15,14,Low,11,1.48,56
P00299,126,132,Forest,42588000.0,69083189.39,28,45,High,15,1.3,69
P00300,289,132,Hilly,83925600.0,114722992.3,14,19,Low,8,1.21,88
P00301,65,220,Hilly,40950000.0,58056474.98,26,36,Low,6,1.5,69
P00302,114,220,Forest,75211500.0,118432014.44,24,37,Medium,18,1.45,62
P00303,280,765,Plain,279720000.0,354508033.43,10,12,Medium,4,1.11,60
P00304,258,220,Forest,170215500.0,223967028.2,19,24,Medium,8,1.45,67
P00305,150,400,Hilly,147960000.0,220051556.52,8,11,Low,13,1.37,55
P00306,290,400,Desert,264132000.0,332179625.13,22,27,Medium,18,1.38,79
P00307,192,132,Hilly,62208000.0,90134822.02,22,31,Medium,18,1.35,55
P00308,238,132,Forest,73018400.0,102787786.38,9,12,Medium,16,1.18,91
P00309,337,220,Desert,137529700.0,152113681.76,16,17,Low,9,1.06,63
P00310,115,765,Hilly,172638000.0,211725989.0,26,31,Low,13,1.39,69
P00311,340,220,Hilly,184212000.0,284781002.42,30,46,High,6,1.29,89
P00312,265,220,Hilly,116865000.0,158411013.72,14,18,High,3,1.05,92
P00313,338,132,Desert,109309200.0,130310741.25,23,27,High,3,1.47,73
P00314,250,132,Forest,78650000.0,113527255.07,26,37,High,14,1.21,86
P00315,192,220,Desert,97574400.0,132728677.6,21,28,Medium,3,1.32,65
P00316,302,220,Desert,167428800.0,172572701.81,9,9,Medium,9,1.44,93
P00317,65,132,Hilly,19812000.0,30586163.81,16,24,Medium,9,1.27,69
P00318,263,765,Forest,307710000.0,486578896.84,26,41,High,6,1.0,94
P00319,252,132,Desert,82051200.0,95026468.13,28,32,Low,9,1.48,55
P00320,32,220,Desert,12689600.0,11690330.4,28,25,Low,9,1.03,93
P00321,149,220,Forest,75930400.0,96810008.96,10,12,Low,14,1.12,69
P00322,221,765,Desert,229729500.0,244291323.94,26,27,Low,3,1.05,63
P00323,186,220,Hilly,100774800.0,172453306.16,27,46,High,6,1.29,95
P00324,199,765,Hilly,318081600.0,408263444.84,22,28,Low,16,1.48,88
P00325,121,132,Hilly,31944000.0,35427844.17,26,28,Medium,17,1.1,87
P00326,60,400,Plain,49320000.0,65930389.15,8,10,Medium,3,1.37,80
P00327,167,765,Forest,224698500.0,249970990.9,26,28,Medium,18,1.15,84
P00328,156,400,Plain,100152000.0,142119259.38,26,36,High,9,1.07,65
P00329,325,765,Hilly,470340000.0,647443600.82,13,17,Low,6,1.34,77
P00330,349,132,Forest,125221200.0,172951393.07,11,15,Low,14,1.38,66
P00331,332,132,Plain,83664000.0,111196730.91,15,19,Low,5,1.26,95
P00332,68,765,Plain,73440000.0,92318731.43,12,15,High,14,1.2,87
P00333,296,400,Forest,316305600.0,479987337.16,30,45,High,11,1.37,71
P00334,69,400,Hilly,55641600.0,81871388.51,24,35,Low,3,1.12,95
P00335,111,132,Forest,40692600.0,53845673.76,23,30,High,13,1.41,66
P00336,75,400,Hilly,79920000.0,113137580.17,29,41,Medium,11,1.48,84
P00337,74,132,Forest,23472800.0,29826613.8,20,25,Medium,8,1.22,67
P00338,38,400,Desert,27337200.0,29409199.38,14,15,Low,11,1.09,71
P00339,202,132,Forest,69326400.0,88431699.09,15,19,Medium,11,1.32,93
P00340,285,765,Desert,355509000.0,425400869.92,27,32,Low,9,1.26,68
P00341,50,765,Forest,59085000.0,86383686.08,27,39,Medium,16,1.01,57
P00342,319,132,Plain,90596000.0,99766956.6,28,30,Medium,8,1.42,92
P00343,54,132,Forest,20779200.0,32058630.18,19,29,High,18,1.48,64
P00344,264,132,Plain,55440000.0,63265180.65,30,34,Low,14,1.05,59
P00345,234,400,Desert,205405200.0,232514557.79,19,21,Medium,17,1.33,64
P00346,83,220,Desert,35470050.0,40459288.74,27,30,Medium,11,1.11,69
P00347,32,765,Hilly,38361600.0,49401435.46,21,27,Low,17,1.11,55
P00348,66,400,Plain,49500000.0,56577423.65,8,9,Low,16,1.25,63
P00349,144,220,Desert,64310400.0,57768401.97,18,16,Low,11,1.16,89
P00350,215,220,Plain,108360000.0,123741286.22,19,21,Medium,18,1.44,66
P00351,190,132,Forest,73606000.0,88919053.29,27,32,Low,12,1.49,73
